Date,Open,High,Low,Close*,Adj Close**,Volume
"Sep 02, 2019","2,909.01","2,985.86","2,891.85","2,978.71","2,978.71","13,689,030,000"
"Aug 26, 2019","2,866.70","2,940.43","2,853.05","2,926.46","2,926.46","15,673,290,000"
"Aug 19, 2019","2,913.48","2,939.08","2,834.97","2,847.11","2,847.11","16,118,550,000"
"Aug 12, 2019","2,907.07","2,943.31","2,825.51","2,888.68","2,888.68","18,553,910,000"
"Aug 05, 2019","2,898.07","2,938.72","2,822.12","2,918.65","2,918.65","20,616,730,000"
"Jul 29, 2019","3,024.47","3,025.61","2,914.11","2,932.05","2,932.05","20,098,430,000"
"Jul 22, 2019","2,981.93","3,027.98","2,976.65","3,025.86","3,025.86","16,649,220,000"
"Jul 15, 2019","3,017.80","3,017.80","2,973.09","2,976.61","2,976.61","15,904,160,000"
"Jul 08, 2019","2,979.77","3,013.92","2,963.44","3,013.77","3,013.77","15,216,580,000"
"Jul 01, 2019","2,971.41","2,995.84","2,952.22","2,990.41","2,990.41","11,118,040,000"
"Jun 24, 2019","2,951.42","2,954.92","2,912.99","2,941.76","2,941.76","18,736,050,000"
"Jun 17, 2019","2,889.75","2,964.15","2,887.30","2,950.46","2,950.46","18,441,710,000"
"Jun 10, 2019","2,885.83","2,910.61","2,874.68","2,886.98","2,886.98","15,783,900,000"
"Jun 03, 2019","2,751.53","2,884.97","2,728.81","2,873.34","2,873.34","17,942,620,000"
"May 27, 2019","2,830.03","2,840.51","2,750.52","2,752.06","2,752.06","15,076,270,000"
"May 20, 2019","2,841.94","2,868.88","2,805.49","2,826.06","2,826.06","16,479,450,000"
"May 13, 2019","2,840.19","2,892.15","2,801.43","2,859.53","2,859.53","16,938,710,000"
"May 06, 2019","2,908.89","2,937.32","2,825.39","2,881.40","2,881.40","17,602,830,000"
"Apr 29, 2019","2,940.58","2,954.13","2,900.50","2,945.64","2,945.64","17,800,970,000"
"Apr 22, 2019","2,898.78","2,939.88","2,896.35","2,939.88","2,939.88","16,755,720,000"
"Apr 15, 2019","2,908.32","2,918.00","2,891.90","2,905.03","2,905.03","13,599,690,000"
"Apr 08, 2019","2,888.46","2,910.54","2,873.33","2,907.41","2,907.41","15,751,420,000"
"Apr 01, 2019","2,848.63","2,893.24","2,848.63","2,892.74","2,892.74","16,459,900,000"
"Mar 25, 2019","2,796.01","2,836.03","2,785.02","2,834.40","2,834.40","16,914,430,000"
"Mar 18, 2019","2,822.61","2,860.31","2,800.47","2,800.71","2,800.71","18,727,610,000"
"Mar 11, 2019","2,747.61","2,830.73","2,747.61","2,822.48","2,822.48","20,361,870,000"
"Mar 04, 2019","2,814.37","2,816.88","2,722.27","2,743.07","2,743.07","18,620,090,000"
"Feb 25, 2019","2,804.35","2,813.49","2,775.13","2,803.69","2,803.69","19,586,400,000"
"Feb 18, 2019","2,769.28","2,794.20","2,764.55","2,792.67","2,792.67","14,356,680,000"
"Feb 11, 2019","2,712.40","2,775.66","2,703.79","2,775.60","2,775.60","18,338,580,000"
"Feb 04, 2019","2,706.49","2,738.98","2,681.83","2,707.88","2,707.88","18,114,780,000"
"Jan 28, 2019","2,644.97","2,716.66","2,624.06","2,706.53","2,706.53","19,661,740,000"
"Jan 21, 2019","2,657.88","2,672.38","2,612.86","2,664.76","2,664.76","14,490,970,000"
"Jan 14, 2019","2,580.31","2,675.47","2,570.41","2,670.71","2,670.71","18,859,550,000"
"Jan 07, 2019","2,535.61","2,597.82","2,524.56","2,596.26","2,596.26","19,379,210,000"
"Dec 31, 2018","2,498.94","2,538.07","2,443.96","2,531.94","2,531.94","15,212,300,000"
"Dec 24, 2018","2,400.56","2,520.27","2,346.58","2,485.74","2,485.74","14,647,150,000"
"Dec 17, 2018","2,590.75","2,601.13","2,408.55","2,416.62","2,416.62","27,409,960,000"
"Dec 10, 2018","2,630.86","2,685.44","2,583.23","2,599.95","2,599.95","19,978,530,000"
"Dec 03, 2018","2,790.50","2,800.18","2,621.53","2,633.08","2,633.08","18,044,060,000"
"Nov 26, 2018","2,649.97","2,760.88","2,649.97","2,760.17","2,760.17","19,100,190,000"
"Nov 19, 2018","2,730.74","2,733.16","2,631.09","2,632.56","2,632.56","13,016,000,000"
"Nov 12, 2018","2,773.93","2,775.99","2,670.75","2,736.27","2,736.27","20,319,060,000"
"Nov 05, 2018","2,726.37","2,815.15","2,717.94","2,781.01","2,781.01","18,698,510,000"
"Oct 29, 2018","2,682.65","2,756.55","2,603.54","2,723.06","2,723.06","23,838,850,000"
"Oct 22, 2018","2,773.94","2,778.94","2,628.16","2,658.69","2,658.69","21,802,950,000"
"Oct 15, 2018","2,763.83","2,816.94","2,749.03","2,767.78","2,767.78","17,233,120,000"
"Oct 08, 2018","2,877.53","2,894.83","2,710.51","2,767.13","2,767.13","20,208,740,000"
"Oct 01, 2018","2,926.29","2,939.86","2,869.29","2,885.57","2,885.57","17,190,620,000"
"Sep 24, 2018","2,921.83","2,931.15","2,903.28","2,913.98","2,913.98","16,539,460,000"
"Sep 17, 2018","2,903.83","2,940.91","2,886.16","2,929.67","2,929.67","18,247,730,000"
"Sep 10, 2018","2,881.39","2,908.30","2,866.78","2,904.98","2,904.98","15,300,720,000"
"Sep 03, 2018","2,896.96","2,900.18","2,864.12","2,871.68","2,871.68","12,404,170,000"
"Aug 27, 2018","2,884.69","2,916.50","2,884.69","2,901.52","2,901.52","14,011,570,000"
"Aug 20, 2018","2,853.93","2,876.16","2,850.62","2,874.69","2,874.69","13,894,820,000"
"Aug 13, 2018","2,835.46","2,855.63","2,802.49","2,850.13","2,850.13","16,024,470,000"
"Aug 06, 2018","2,840.29","2,863.43","2,825.81","2,833.28","2,833.28","15,312,600,000"
"Jul 30, 2018","2,819.00","2,840.38","2,796.34","2,840.35","2,840.35","17,132,630,000"
"Jul 23, 2018","2,799.17","2,848.03","2,795.14","2,818.82","2,818.82","16,947,010,000"
"Jul 16, 2018","2,797.36","2,816.76","2,789.24","2,801.83","2,801.83","15,449,650,000"
"Jul 09, 2018","2,775.62","2,804.53","2,770.73","2,801.31","2,801.31","14,514,320,000"
"Jul 02, 2018","2,704.95","2,764.41","2,698.95","2,759.82","2,759.82","10,493,320,000"
"Jun 25, 2018","2,742.94","2,746.09","2,691.99","2,718.37","2,718.37","17,980,020,000"
"Jun 18, 2018","2,765.79","2,774.99","2,743.19","2,754.88","2,754.88","19,026,830,000"
"Jun 11, 2018","2,780.18","2,791.47","2,761.73","2,779.66","2,779.66","19,368,250,000"
"Jun 04, 2018","2,741.67","2,779.90","2,739.51","2,779.03","2,779.03","17,380,480,000"
