,Ticker1,Open1,Date1,Volume1,Ticker2,Open2,Date2,Volume2
11806,ESP,23.03,2017-03-31,866.0,ESP,26.47,2018-03-31,1030.0
11807,ESP,22.7,2017-06-30,11837.0,ESP,26.0,2018-06-30,4012.0
11808,ESP,22.22,2017-09-30,1744.0,ESP,30.12,2018-09-30,7121.0
11809,ESP,24.15,2017-12-31,2344.0,ESP,24.79,2018-12-31,3973.0
11810,ESP,26.47,2018-03-31,1030.0,ESP,24.7,2019-03-31,5122.0
11811,ESP,26.0,2018-06-30,4012.0,ESP,24.75,2019-06-30,131.0
11812,ESP,30.12,2018-09-30,7121.0,ESP,23.71,2019-09-30,328.0
11813,ESP,24.79,2018-12-31,3973.0,ESP,21.42,2019-12-31,3130.0
11814,ESP,24.7,2019-03-31,5122.0,ESP,18.45,2020-03-31,1463.0
11815,ESP,24.75,2019-06-30,131.0,ESP,17.48,2020-06-30,3257.0
11816,ESP,23.71,2019-09-30,328.0,ESP,19.06,2020-09-30,678.0
11817,ESP,21.42,2019-12-31,3130.0,ESP,19.02,2020-12-31,16932.0
11818,ESP,18.45,2020-03-31,1463.0,ESP,15.5,2021-03-31,40960.0
11819,ESP,17.48,2020-06-30,3257.0,ESP,15.0,2021-06-30,4333.0
11820,ESP,19.06,2020-09-30,678.0,ESP,,,
11821,ESP,19.02,2020-12-31,16932.0,ESP,,,
11822,ESP,15.5,2021-03-31,40960.0,ESP,,,
11823,ESP,15.0,2021-06-30,4333.0,ESP,,,
11824,ESRX,69.86,2016-09-30,3976663.0,ESRX,63.37,2017-09-30,2622559.0
11825,ESRX,69.41,2016-12-31,3524397.0,ESRX,74.99,2017-12-31,2633751.0
11826,ESRX,66.2,2017-03-31,6980049.0,ESRX,68.89,2018-03-31,4445157.0
11827,ESRX,64.59,2017-06-30,5348588.0,ESRX,77.05,2018-06-30,1632865.0
11828,ESRX,63.37,2017-09-30,2622559.0,ESRX,95.25,2018-09-30,3049637.0
11829,ESRX,74.99,2017-12-31,2633751.0,ESRX,,,
11830,ESRX,68.89,2018-03-31,4445157.0,ESRX,,,
11831,ESRX,77.05,2018-06-30,1632865.0,ESRX,,,
11832,ESRX,95.25,2018-09-30,3049637.0,ESRX,,,
11833,ESS,227.3,2016-09-30,372156.0,ESS,254.71,2017-09-30,352005.0
11834,ESS,233.8,2016-12-31,455836.0,ESS,241.96,2017-12-31,310871.0
11835,ESS,232.03,2017-03-31,462888.0,ESS,240.64,2018-03-31,404929.0
11836,ESS,260.31,2017-06-30,400788.0,ESS,238.77,2018-06-30,435065.0
11837,ESS,254.71,2017-09-30,352005.0,ESS,246.78,2018-09-30,425514.0
11838,ESS,241.96,2017-12-31,310871.0,ESS,244.7,2018-12-31,231106.0
11839,ESS,240.64,2018-03-31,404929.0,ESS,288.84,2019-03-31,270499.0
11840,ESS,238.77,2018-06-30,435065.0,ESS,293.15,2019-06-30,274647.0
11841,ESS,246.78,2018-09-30,425514.0,ESS,325.96,2019-09-30,271715.0
11842,ESS,244.7,2018-12-31,231106.0,ESS,297.67,2019-12-31,311835.0
11843,ESS,288.84,2019-03-31,270499.0,ESS,223.8,2020-03-31,785811.0
11844,ESS,293.15,2019-06-30,274647.0,ESS,227.15,2020-06-30,857701.0
11845,ESS,325.96,2019-09-30,271715.0,ESS,201.58,2020-09-30,438662.0
11846,ESS,297.67,2019-12-31,311835.0,ESS,236.82,2020-12-31,316932.0
11847,ESS,223.8,2020-03-31,785811.0,ESS,278.24,2021-03-31,803641.0
11848,ESS,227.15,2020-06-30,857701.0,ESS,302.6,2021-06-30,302886.0
11849,ESS,201.58,2020-09-30,438662.0,ESS,,,
11850,ESS,236.82,2020-12-31,316932.0,ESS,,,
11851,ESS,278.24,2021-03-31,803641.0,ESS,,,
11852,ESS,302.6,2021-06-30,302886.0,ESS,,,
11853,ESTA,26.0,2018-06-30,1939196.0,ESTA,22.34,2019-06-30,73901.0
11854,ESTA,23.94,2018-09-30,57626.0,ESTA,18.57,2019-09-30,127650.0
11855,ESTA,26.03,2018-12-31,36525.0,ESTA,26.75,2019-12-31,82854.0
11856,ESTA,24.19,2019-03-31,60817.0,ESTA,13.75,2020-03-31,138173.0
11857,ESTA,22.34,2019-06-30,73901.0,ESTA,17.1,2020-06-30,104600.0
11858,ESTA,18.57,2019-09-30,127650.0,ESTA,18.6,2020-09-30,37787.0
11859,ESTA,26.75,2019-12-31,82854.0,ESTA,35.16,2020-12-31,56168.0
11860,ESTA,13.75,2020-03-31,138173.0,ESTA,59.9,2021-03-31,64881.0
11861,ESTA,17.1,2020-06-30,104600.0,ESTA,86.31,2021-06-30,42037.0
11862,ESTA,18.6,2020-09-30,37787.0,ESTA,,,
11863,ESTA,35.16,2020-12-31,56168.0,ESTA,,,
11864,ESTA,59.9,2021-03-31,64881.0,ESTA,,,
11865,ESTA,86.31,2021-06-30,42037.0,ESTA,,,
11866,ESTC,68.48,2018-10-31,507295.0,ESTC,74.29,2019-10-31,785263.0
11867,ESTC,84.3,2019-01-31,302174.0,ESTC,65.99,2020-01-31,692402.0
11868,ESTC,85.44,2019-04-30,610028.0,ESTC,63.71,2020-04-30,951769.0
11869,ESTC,100.91,2019-07-31,774625.0,ESTC,95.74,2020-07-31,441474.0
11870,ESTC,74.29,2019-10-31,785263.0,ESTC,101.82,2020-10-31,973763.0
11871,ESTC,65.99,2020-01-31,692402.0,ESTC,153.46,2021-01-31,842070.0
11872,ESTC,63.71,2020-04-30,951769.0,ESTC,122.68,2021-04-30,1253091.0
11873,ESTC,95.74,2020-07-31,441474.0,ESTC,148.06,2021-07-31,514503.0
11874,ESTC,101.82,2020-10-31,973763.0,ESTC,,,
11875,ESTC,153.46,2021-01-31,842070.0,ESTC,,,
11876,ESTC,122.68,2021-04-30,1253091.0,ESTC,,,
11877,ESTC,148.06,2021-07-31,514503.0,ESTC,,,
11878,ETD,31.32,2016-09-30,513710.0,ETD,32.3,2017-09-30,268039.0
11879,ETD,37.45,2016-12-31,195686.0,ETD,28.75,2017-12-31,227232.0
11880,ETD,30.5,2017-03-31,262145.0,ETD,22.8,2018-03-31,193712.0
11881,ETD,31.75,2017-06-30,599498.0,ETD,24.3,2018-06-30,124140.0
11882,ETD,32.3,2017-09-30,268039.0,ETD,20.79,2018-09-30,272366.0
11883,ETD,28.75,2017-12-31,227232.0,ETD,17.94,2018-12-31,339978.0
11884,ETD,22.8,2018-03-31,193712.0,ETD,19.21,2019-03-31,196613.0
11885,ETD,24.3,2018-06-30,124140.0,ETD,21.21,2019-06-30,363142.0
11886,ETD,20.79,2018-09-30,272366.0,ETD,18.94,2019-09-30,295689.0
11887,ETD,17.94,2018-12-31,339978.0,ETD,19.0,2019-12-31,305986.0
11888,ETD,19.21,2019-03-31,196613.0,ETD,10.59,2020-03-31,415550.0
11889,ETD,21.21,2019-06-30,363142.0,ETD,11.52,2020-06-30,740310.0
11890,ETD,18.94,2019-09-30,295689.0,ETD,13.65,2020-09-30,453277.0
11891,ETD,19.0,2019-12-31,305986.0,ETD,20.32,2020-12-31,120296.0
11892,ETD,10.59,2020-03-31,415550.0,ETD,27.64,2021-03-31,289550.0
11893,ETD,11.52,2020-06-30,740310.0,ETD,26.9,2021-06-30,222331.0
11894,ETD,13.65,2020-09-30,453277.0,ETD,,,
11895,ETD,20.32,2020-12-31,120296.0,ETD,,,
11896,ETD,27.64,2021-03-31,289550.0,ETD,,,
11897,ETD,26.9,2021-06-30,222331.0,ETD,,,
11898,ETN,64.44,2016-09-30,3799282.0,ETN,76.95,2017-09-30,1753334.0
